"","Species","Season","Site","City","Long","Lat","Crs","Y","J"
"22","striped_skunk","AP14","D04-FGP1","chil",-87.75452049,41.97728945,4326,0,28
"23","striped_skunk","AP14","D04-RDP1","chil",-87.78559613,41.98961368,4326,0,28
"24","striped_skunk","AP14","D04-ROS0","chil",-87.68932042,41.98771934,4326,0,27
"25","striped_skunk","AP14","D05-ADC2","chil",-87.7944926152454,42.0021481597772,4326,0,0
"26","striped_skunk","AP14","D05-MIA1","chil",-87.79567324,42.02421505,4326,2,28
"27","striped_skunk","AP14","D05-PRC1","chil",-87.8318759,42.02154012,4326,0,28
"28","striped_skunk","AP14","D06-KCG1","chil",-87.85328609,42.07983052,4326,1,28
"29","striped_skunk","AP14","D07-ASC0","chil",-87.88662949,42.05985363,4326,0,23
"30","striped_skunk","AP14","D08-CCC1","chil",-87.92248236,42.15870422,4326,0,28
"31","striped_skunk","AP14","D08-DAW0","chil",-87.89377889,42.12577912,4326,1,28
"32","striped_skunk","AP14","D08-DAW2","chil",-87.90145123,42.13530185,4326,0,28
"33","striped_skunk","AP14","D09-CLG0","chil",-87.9176414,42.187657685,4326,0,24
"34","striped_skunk","AP14","D09-RYW1","chil",-87.90419482,42.1775919,4326,0,28
"35","striped_skunk","AP14","D09-VTC1","chil",-87.9292671,42.20377534,4326,1,28
"36","striped_skunk","AP14","D10-CAN0","chil",-87.93847762,42.24007189,4326,0,28
"37","striped_skunk","AP14","D10-MAC1","chil",-87.92753011,42.25476444,4326,0,28
"38","striped_skunk","AP14","D10-VHC1","chil",-87.94735573,42.22265299,4326,1,28
"39","striped_skunk","AP14","J01-BBS1","chil",-87.61051042,41.84834938,4326,0,28
"40","striped_skunk","AP14","J01-CLP1","chil",-87.65219937,41.91328435,4326,0,0
"41","striped_skunk","AP14","J01-LMP1","chil",-87.61053666,41.83717173,4326,0,14
"42","striped_skunk","AP14","J01-NOR1","chil",-87.60790591,41.86080165,4326,0,0
"43","striped_skunk","AP14","J01-SEP1","chil",-87.63898576,41.90142019,4326,0,24
"44","striped_skunk","AP14","J01-SKP1","chil",-87.66100717,41.87989095,4326,0,28
"45","striped_skunk","AP14","J01-UIC1","chil",-87.6460853,41.86897406,4326,0,0
"46","striped_skunk","AP14","R02-DPG1","chil",-87.69969807,41.86036917,4326,0,30
"47","striped_skunk","AP14","R02-FRP1","chil",-87.73276152,41.86167611,4326,0,15
"48","striped_skunk","AP14","R02-HRF1","chil",-87.7135301798515,41.8687909871892,4326,0,0
"49","striped_skunk","AP14","R03-AUP1","chil",-87.76897765,41.88766256,4326,0,30
"50","striped_skunk","AP14","R03-CPG1","chil",-87.7721358,41.87566237,4326,0,0
"51","striped_skunk","AP14","R03-EUC1","chil",-87.79182537,41.86573343,4326,0,30
"52","striped_skunk","AP14","R03-MAP1","chil",-87.80378089,41.86786605,4326,0,16
"53","striped_skunk","AP14","R04-MMW0","chil",-87.83207106,41.85280337,4326,1,30
"54","striped_skunk","AP14","R04-MMW3","chil",-87.82763197,41.86356253,4326,0,0
"55","striped_skunk","AP14","R04-SCH1","chil",-87.8484205,41.85567851,4326,0,0
"56","striped_skunk","AP14","R05-FMG1","chil",-87.91280438,41.84824061,4326,0,0
"57","striped_skunk","AP14","R05-GOC1","chil",-87.88292622,41.85757554,4326,0,0
"58","striped_skunk","AP14","R05-MTC1","chil",-87.91060758,41.86915824,4326,0,0
"59","striped_skunk","AP14","R05-STP1","chil",-87.86937113,41.88326265,4326,1,15
"60","striped_skunk","AP14","R06-OTB1","chil",-87.97779673,41.85248376,4326,2,30
"61","striped_skunk","AP14","R06-YOW1","chil",-87.93312143,41.85870532,4326,0,0
"62","striped_skunk","AP14","R07-FSP1","chil",-88.02228432,41.85090748,4326,0,0
"63","striped_skunk","AP14","R07-GOF1","chil",-88.04194649,41.8658981,4326,0,0
"64","striped_skunk","AP14","R07-MMP1","chil",-88.00296221,41.87405852,4326,0,16
"65","striped_skunk","AP14","R07-YHR1","chil",-87.98972335,41.86578813,4326,0,0
"66","striped_skunk","AP14","R08-DAP1","chil",-88.07916556,41.87515101,4326,0,0
"67","striped_skunk","AP14","R08-PAP1","chil",-88.05904063,41.8561811,4326,0,31
"68","striped_skunk","AP14","R08-VLG1","chil",-88.07091278,41.8521756,4326,0,16
"69","striped_skunk","AP14","R08-WBK1","chil",-88.06135623,41.84175796,4326,0,16
"70","striped_skunk","AP14","R09-BLW1","chil",-88.14724262,41.86309312,4326,0,31
"71","striped_skunk","AP14","R09-CTG0","chil",-88.16212923,41.85014493,4326,0,16
"72","striped_skunk","AP14","R09-LIM0","chil",-88.12305588,41.87106444,4326,1,31
"73","striped_skunk","AP14","R09-SMI1","chil",-88.11233994,41.85279958,4326,5,31
"74","striped_skunk","AP14","R10-FRM1","chil",-88.2632106,41.81899974,4326,0,0
"75","striped_skunk","AP14","R10-FRM2","chil",-88.25455583,41.83329816,4326,0,0
"76","striped_skunk","AP14","R10-WCP0","chil",-88.2299927,41.88948618,4326,0,16
"77","striped_skunk","AP14","R10-WDW0","chil",-88.19222479,41.86593136,4326,0,31
"78","striped_skunk","AP14","S02-BNS1","chil",-87.59306926,41.81198992,4326,0,28
"79","striped_skunk","AP14","S02-BRI1","chil",-87.69796061,41.829108,4326,0,28
"80","striped_skunk","AP14","S02-MCP1","chil",-87.67616828,41.82610396,4326,0,28
"81","striped_skunk","AP14","S02-PIP1","chil",-87.73000452,41.83325462,4326,0,28
"82","striped_skunk","AP14","S02-PLP1","chil",-87.64874972,41.84407767,4326,0,0
"83","striped_skunk","AP14","S02-TNW1","chil",-87.60065692,41.82389815,4326,0,0
"84","striped_skunk","AP14","S03-JKP2","chil",-87.58010698,41.78574236,4326,0,28
"85","striped_skunk","AP14","S03-LCP1","chil",-87.75085536,41.81401666,4326,0,28
"86","striped_skunk","AP14","S03-PSP1","chil",-87.73172978,41.7880381,4326,0,0
"87","striped_skunk","AP14","S03-VIP1","chil",-87.7478189,41.80241759,4326,0,28
"88","striped_skunk","AP14","S03-WAP1","chil",-87.71888828,41.81169474,4326,0,28
"89","striped_skunk","AP14","S04-HAP1","chil",-87.77935426,41.7803347,4326,0,28
"90","striped_skunk","AP14","S04-OTW1","chil",-87.80373503,41.81511794,4326,0,28
"91","striped_skunk","AP14","S04-SSP1","chil",-87.79732651,41.79931501,4326,0,28
"92","striped_skunk","AP14","S05-LNC1","chil",-87.84473133,41.74274601,4326,0,29
"93","striped_skunk","AP14","S05-RES1","chil",-87.82363466,41.76135893,4326,0,0
"94","striped_skunk","AP14","S05-SFP0","chil",-87.858986115,41.758854845,4326,0,0
"95","striped_skunk","AP14","S06-CBW0","chil",-87.89252291,41.72879771,4326,0,12
"96","striped_skunk","AP14","S07-ARG1","chil",-87.97052731,41.71888815,4326,0,0
"97","striped_skunk","AP14","S07-ARG2","chil",-87.98063145,41.70899378,4326,0,0
"98","striped_skunk","AP14","S08-WGL1","chil",-87.99914707,41.69378812,4326,0,0
"99","striped_skunk","AP14","S08-WGL3","chil",-87.9590198557433,41.704560101191,4326,0,0
"100","striped_skunk","AP14","S09-KTP1","chil",-88.03380771,41.6782417,4326,2,29
"101","striped_skunk","AP14","S09-SMC1","chil",-88.01264245,41.65701595,4326,0,0
"102","striped_skunk","AP14","S09-VTW0","chil",-88.05987667,41.67081215,4326,0,0
"103","striped_skunk","AP14","S10-ILC1","chil",-88.06930047,41.63776364,4326,0,12
"104","striped_skunk","AP14","S10-LEW1","chil",-88.07710241,41.5993927,4326,0,29
"105","striped_skunk","AP14","S10-LPC1","chil",-88.04816511,41.5915763,4326,0,29
"106","striped_skunk","AP14","S10-LPP0","chil",-88.07212554,41.58289314,4326,0,18
"107","striped_skunk","JU14","C04-MBP1","chil",-87.57339472,41.71308499,4326,0,0
