"Site","x","y","crs","urb","water_dist","open_dev"
"Site_0001",394587.000418845,4668521.99984188,32616,-0.77842202180633,-0.0347077966814588,0.291974322015515
"Site_0002",395587.000418845,4668521.99984188,32616,-0.825520126476968,-0.223829292208558,0.453815532907251
"Site_0003",396587.000418845,4668521.99984188,32616,-1.65403814534046,-0.353699851006959,0.956046539593972
"Site_0004",397587.000418845,4668521.99984188,32616,-2.13306609872758,-0.60017584185235,2.34606549781926
"Site_0005",398587.000418845,4668521.99984188,32616,-2.53841183789841,-0.658955508946609,2.60054641584717
"Site_0006",399587.000418845,4668521.99984188,32616,-2.03035556680612,-0.69911484245047,1.05254463765441
"Site_0007",400587.000418845,4668521.99984188,32616,-1.59016425924628,-0.660062009133436,1.28860861980954
"Site_0008",394587.000418845,4669521.99984188,32616,-1.74268273331559,-0.163554424924663,1.0085869753095
"Site_0009",395587.000418845,4669521.99984188,32616,-1.8377105213119,-0.420350464555114,0.121982275700845
"Site_0010",396587.000418845,4669521.99984188,32616,-1.83909129878287,-0.583917768499707,0.109773523644506
"Site_0011",397587.000418845,4669521.99984188,32616,-1.83909315033432,-0.555896751510948,1.24598533113441
"Site_0012",398587.000418845,4669521.99984188,32616,-1.97788622292652,-0.562643682824566,2.21354597129898
"Site_0013",399587.000418845,4669521.99984188,32616,-1.91054908490064,-0.557707169193877,1.56035776551587
"Site_0014",400587.000418845,4669521.99984188,32616,-2.09185262022864,-0.714076604681343,1.02157206703538
"Site_0015",394587.000418845,4670521.99984188,32616,-2.12029134434593,-0.198360726255052,1.09763206808721
"Site_0016",395587.000418845,4670521.99984188,32616,-2.49497950459841,-0.473328684053009,0.913518621264907
"Site_0017",396587.000418845,4670521.99984188,32616,-2.16767146426746,-0.735261737381444,0.251198400356125
"Site_0018",397587.000418845,4670521.99984188,32616,-2.07213541042215,-0.533824012708073,0.509426273767138
"Site_0019",398587.000418845,4670521.99984188,32616,-2.38359920844318,-0.63438892175817,1.58973528886977
"Site_0020",399587.000418845,4670521.99984188,32616,-2.20416126757553,-0.708817443618217,0.942491413104489
