"Site","open_dev"
"Site_0001",0.0957568807339449
"Site_0002",0.108084862385321
"Site_0003",0.146341463414634
"Site_0004",0.252223816355811
"Site_0005",0.271608471665713
"Site_0006",0.153692043503148
"Site_0007",0.171673819742489
"Site_0008",0.150343642611684
"Site_0009",0.0828080229226361
"Site_0010",0.0818780417978815
"Site_0011",0.168427062517842
"Site_0012",0.242129364625072
"Site_0013",0.192373853211009
"Site_0014",0.151332760103181
"Site_0015",0.157126502575844
"Site_0016",0.143101970865467
"Site_0017",0.0926508435802116
"Site_0018",0.112320916905444
"Site_0019",0.194611636572084
"Site_0020",0.145308924485126
"Site_0021",0.207509314989968
"Site_0022",0.0985391005442567
"Site_0023",0.148105625717566
"Site_0024",0.243258749282846
"Site_0025",0.274706387854483
"Site_0026",0.196275071633238
"Site_0027",0.197134670487106
"Site_0028",0.210209349010611
"Site_0029",0.0636833046471601
"Site_0030",0.16647564469914
"Site_0031",0.41008018327606
"Site_0032",0.342037302725968
"Site_0033",0.137277426766226
"Site_0034",0.203671830177854
"Site_0035",0.279382327709465
"Site_0036",0.0543789353176875
"Site_0037",0.112639724849527
"Site_0038",0.184888380080137
"Site_0039",0.162278191184888
"Site_0040",0.108154506437768
"Site_0041",0.162092624356775
"Site_0042",0.27205040091638
"Site_0043",0.117798796216681
"Site_0044",0.0959610426811802
"Site_0045",0.0877142857142857
"Site_0046",0.135258793251358
"Site_0047",0.134306987399771
"Site_0048",0.155542824405614
"Site_0049",0.283748925193465
"Site_0050",0.117916428162564
"Site_0051",0.102175157412707
"Site_0052",0.119415807560137
"Site_0053",0.195814220183486
"Site_0054",0.26311263972485
"Site_0055",0.23460326553996
"Site_0056",0.190025795356836
"Site_0057",0.191391678622669
"Site_0058",0.125358577165806
"Site_0059",0.0981067125645439
"Site_0060",0.157351676698194
"Site_0061",0.23403036379261
"Site_0062",0.147244546498278
"Site_0063",0.0696874103814167
"Site_0064",0.26519495412844
"Site_0065",0.24197247706422
"Site_0066",0.137861851533391
"Site_0067",0.196269727403156
"Site_0068",0.266207687894435
"Site_0069",0.121385628399656
"Site_0070",0.0812589413447782
"Site_0071",0.163756083595763
"Site_0072",0.151775486827033
"Site_0073",0.110856488112289
"Site_0074",0.191008018327606
"Site_0075",0.194293865905849
"Site_0076",0.0457927876359473
"Site_0077",0.0939828080229226
"Site_0078",0.178612385321101
"Site_0079",0.185853379152348
"Site_0080",0.102659422362025
"Site_0081",0.154792560801144
"Site_0082",0.126074498567335
"Site_0083",0.126897737038098
"Site_0084",0.140034364261168
"Site_0085",0.0266857962697274
"Site_0086",0.0474001723642631
"Site_0087",0.0995124749067967
"Site_0088",0.135699971371314
"Site_0089",0.232684602175157
"Site_0090",0.137703979387346
"Site_0091",0.0905444126074499
"Site_0092",0.0510760401721664
"Site_0093",0.0663995420721236
"Site_0094",0.10847166571265
"Site_0095",0.0741482965931864
"Site_0096",0.0512306811677161
"Site_0097",0.0717154331612163
"Site_0098",0.0729256388171117
"Site_0099",0.0498853211009174
"Site_0100",0.0246418338108883
"Site_0101",0.094269340974212
"Site_0102",0.154441260744986
"Site_0103",0.163271162123386
"Site_0104",0.26597879048438
"Site_0105",0.36340206185567
"Site_0106",0.176756139348943
"Site_0107",0.121099341540223
"Site_0108",0.10974212034384
"Site_0109",0.106273274133486
"Site_0110",0.134879725085911
"Site_0111",0.138443935926773
"Site_0112",0.0825214899713467
"Site_0113",0.0865577529378045
"Site_0114",0.032618025751073
"Site_0115",0.0766371175293108
"Site_0116",0.126069594980034
"Site_0117",0.167429879793932
"Site_0118",0.16079105760963
"Site_0119",0.117478510028653
"Site_0120",0.0692814199828228
"Site_0121",0.0578133943903835
"Site_0122",0.092237181323403
"Site_0123",0.115318416523236
"Site_0124",0.151462994836489
"Site_0125",0.135841470419299
"Site_0126",0.0659025787965616
"Site_0127",0.169340974212034
"Site_0128",0.274184315970235
"Site_0129",0.0748065348237317
"Site_0130",0.0329324169530355
"Site_0131",0.0766590389016018
"Site_0132",0.164614944174062
"Site_0133",0.186982586354553
"Site_0134",0.199369808077915
"Site_0135",0.112288742480665
"Site_0136",0.116045845272206
"Site_0137",0.164089347079038
"Site_0138",0.229315774405955
"Site_0139",0.22993119266055
"Site_0140",0.164564220183486
"Site_0141",0.122238163558106
"Site_0142",0.123743898937697
"Site_0143",0.0274678111587983
"Site_0144",0.063323782234957
"Site_0145",0.130546807901517
"Site_0146",0.15807560137457
"Site_0147",0.120743919885551
"Site_0148",0.0644514465769121
"Site_0149",0.0229292060762396
"Site_0150",0.0160734787600459
"Site_0151",0.133180252583238
"Site_0152",0.221170395869191
"Site_0153",0.185206422018349
"Site_0154",0.120492272467086
"Site_0155",0.0692615912993703
"Site_0156",0.256659982812948
"Site_0157",0.365147606764116
"Site_0158",0.0953335241912396
"Site_0159",0.0411076220382529
"Site_0160",0.137417692527913
"Site_0161",0.133123389636416
"Site_0162",0.0704265674205554
"Site_0163",0.125824018343365
"Site_0164",0.118843069873998
"Site_0165",0.116938950988822
"Site_0166",0.152964766542538
"Site_0167",0.123205054566341
"Site_0168",0.145397189561227
"Site_0169",0.120195065978199
"Site_0170",0.0835479256080114
"Site_0171",0.0809959931310819
"Site_0172",0.00229423573272154
"Site_0173",0.0378006872852234
"Site_0174",0.0817087155963303
"Site_0175",0.126611286164423
"Site_0176",0.138346727898967
"Site_0177",0.0720022948938612
"Site_0178",0.0126255380200861
"Site_0179",0.0572409845449342
"Site_0180",0.102175157412707
"Site_0181",0.172344689378758
"Site_0182",0.0556033247348811
"Site_0183",0.0246488965319576
"Site_0184",0.121741621311945
"Site_0185",0.265370317414927
"Site_0186",0.213611667143266
"Site_0187",0.100400457665904
"Site_0188",0.0240825688073395
"Site_0189",0.168913105821623
"Site_0190",0.181766055045872
"Site_0191",0.0808022922636103
"Site_0192",0.104011461318052
"Site_0193",0.100688468158348
"Site_0194",0.103329506314581
"Site_0195",0.0949784791965567
"Site_0196",0.0489270386266094
"Site_0197",0.0437893531768746
"Site_0198",0.064396107613051
"Site_0199",0.042346208869814
"Site_0200",0.0573394495412844
"Site_0201",0.000859845227858985
"Site_0202",0.0446607500715717
"Site_0203",0.0895008605851979
"Site_0204",0.0963855421686747
"Site_0205",0.0879152348224513
"Site_0206",0.0902061855670103
"Site_0207",0.0369204350314825
"Site_0208",0.0626788780767029
"Site_0209",0.0762614678899083
"Site_0210",0.0587224291034088
"Site_0211",0.0371959942775393
"Site_0212",0.0420721236405266
"Site_0213",0.110252004581901
"Site_0214",0.186066513761468
"Site_0215",0.15097588978186
"Site_0216",0.0791738382099828
"Site_0217",0.0331997710360618
"Site_0218",0.118760757314974
"Site_0219",0.193751791344225
"Site_0220",0.101578192252511
"Site_0221",0.0895008605851979
"Site_0222",0.128902893153824
"Site_0223",0.127683939307186
"Site_0224",0.143143429716576
"Site_0225",0.120595817817244
"Site_0226",0.057036400114646
"Site_0227",0.0696275071633238
"Site_0228",0.0521042084168337
"Site_0229",0.067830566685747
