"Site","water_dist"
"Site_0001",2569.37256099368
"Site_0002",1886.77749348995
"Site_0003",1418.03647278964
"Site_0004",528.432172970371
"Site_0005",316.279076802076
"Site_0006",171.332237800136
"Site_0007",312.285392384473
"Site_0008",2104.32720664
"Site_0009",1177.47481729264
"Site_0010",587.112338578714
"Site_0011",688.2484253554
"Site_0012",663.896767059625
"Site_0013",681.714095785697
"Site_0014",117.330840066402
"Site_0015",1978.701034216
"Site_0016",986.260850770196
"Site_0017",40.8674690191437
"Site_0018",767.915427729447
"Site_0019",404.947111038439
"Site_0020",136.312698214741
"Site_0021",451.184559608864
"Site_0022",1966.42342772022
"Site_0023",966.430140571447
"Site_0024",31.1891932159201
"Site_0025",380.383461926751
"Site_0026",121.102691362398
"Site_0027",384.145182351157
"Site_0028",256.682015696379
"Site_0029",2171.60512099092
"Site_0030",1307.67651096992
"Site_0031",796.198241061214
"Site_0032",77.4922219402942
"Site_0033",539.027366718731
"Site_0034",571.991841753825
"Site_0035",878.502528460417
"Site_0036",2716.00474652339
"Site_0037",2010.86061476172
"Site_0038",1045.68188270728
"Site_0039",135.675918025043
"Site_0040",214.844593638853
"Site_0041",588.172480981973
"Site_0042",1097.77008393999
"Site_0043",3267.44761320836
"Site_0044",2366.22701940009
"Site_0045",1549.84382519455
"Site_0046",1097.72558394543
"Site_0047",803.139121246911
"Site_0048",317.951785819757
"Site_0049",853.006145780501
"Site_0050",2702.43695050888
"Site_0051",1912.02120839934
"Site_0052",1417.21019304195
"Site_0053",1397.21349869508
"Site_0054",1645.03858669587
"Site_0055",1275.19288415541
"Site_0056",1500.04660337104
"Site_0057",2354.49709519393
"Site_0058",1377.06797260331
"Site_0059",498.974779986852
"Site_0060",474.309049817332
"Site_0061",730.404224357883
"Site_0062",681.467116262144
"Site_0063",1150.85060239464
"Site_0064",1886.98980319127
"Site_0065",1461.78223445584
"Site_0066",699.619132717111
"Site_0067",368.584651749039
"Site_0068",234.315200909834
"Site_0069",240.188446960254
"Site_0070",727.795469540991
"Site_0071",929.566104332884
"Site_0072",1050.69757707587
"Site_0073",750.150560413657
"Site_0074",99.6785262433307
"Site_0075",255.092343008494
"Site_0076",336.847091093043
"Site_0077",883.008433939127
"Site_0078",409.213596183458
"Site_0079",580.492970377149
"Site_0080",1466.4603678947
"Site_0081",1005.0451911379
"Site_0082",593.802348392854
"Site_0083",1109.15957039514
"Site_0084",731.908535354089
"Site_0085",442.837285498631
"Site_0086",375.785430290604
"Site_0087",55.2050315846262
"Site_0088",247.394821041438
"Site_0089",1247.39482104144
"Site_0090",892.964108061583
"Site_0091",73.5922726954206
"Site_0092",1046.6812117944
"Site_0093",215.202414643252
"Site_0094",462.714543866719
"Site_0095",952.406961741092
"Site_0096",1156.17642049394
"Site_0097",1488.20097674291
"Site_0098",1790.75862986466
"Site_0099",790.758629864664
"Site_0100",100.802780819766
"Site_0101",308.392617427221
"Site_0102",743.238775225872
"Site_0103",180.89043244482
"Site_0104",29.0602789336647
"Site_0105",809.030882582937
"Site_0106",76.0986107591889
"Site_0107",98.5514074061041
"Site_0108",495.135646323975
"Site_0109",1186.61243717845
"Site_0110",447.851109810057
"Site_0111",242.450852842073
"Site_0112",556.003602283704
"Site_0113",1111.00040612432
"Site_0114",402.583575087866
"Site_0115",553.123880470182
"Site_0116",45.6167111241653
"Site_0117",812.704196710946
"Site_0118",1593.27544467233
"Site_0119",1027.64305894989
"Site_0120",131.799290745821
"Site_0121",409.599555339057
"Site_0122",703.733381544979
"Site_0123",447.478228025076
"Site_0124",619.074417681793
"Site_0125",160.895745873567
"Site_0126",703.742025847401
"Site_0127",1029.36119397972
"Site_0128",1100.84402026812
"Site_0129",147.795131096969
"Site_0130",70.8588579827168
"Site_0131",59.7586157989238
"Site_0132",168.88489366305
"Site_0133",89.5360561181664
"Site_0134",110.045729294099
"Site_0135",472.223159300578
"Site_0136",357.695921092048
"Site_0137",118.083961768767
"Site_0138",487.385373767031
"Site_0139",1093.54663290245
"Site_0140",331.717463806412
