"Site","HU10","tree","imperv"
"Site_0001",509.58971718042,0.306446442935161,0.248660472569171
"Site_0002",373.421581928769,0.261304883549267,0.204596723546924
"Site_0003",115.214561714978,0.327889433239993,0.0648623820211557
"Site_0004",36.7177340802385,0.422054219580867,0.0333943978723438
"Site_0005",42.8754239691468,0.539172174732342,0.0368910158979248
"Site_0006",27.5761912061155,0.391244879185381,0.0322537313907926
"Site_0007",18.9219251700117,0.268043133860819,0.032844734589627
"Site_0008",413.168005170143,0.460780887227743,0.141139913789317
"Site_0009",211.139056748549,0.410311755255843,0.0856471497476285
"Site_0010",22.538140749999,0.323169604049364,0.0175240297310726
"Site_0011",21.5602021642114,0.324813979663814,0.0193548366560648
"Site_0012",31.4756432366505,0.375406122288526,0.0305216795374845
"Site_0013",22.7998979430806,0.354924705060735,0.0298066672841905
"Site_0014",24.7783519090433,0.406769275430779,0.0309029509701656
"Site_0015",178.357177840655,0.492632695356677,0.0933089003202456
"Site_0016",105.197214914468,0.552027456318047,0.0552834695496395
"Site_0017",54.6858075965844,0.432250901531354,0.0317714004874588
"Site_0018",41.704245842014,0.402757379505896,0.0303860509561033
"Site_0019",64.5911328757488,0.508504551166726,0.0472614059279122
"Site_0020",79.7279659658146,0.468596025988354,0.0559629432629193
"Site_0021",42.6104890334834,0.526413628306021,0.0577340248327354
"Site_0022",98.4229296417191,0.342700198560863,0.081358069726121
"Site_0023",124.438210629506,0.554316451957087,0.0782271371857979
"Site_0024",141.553767591228,0.539195979099722,0.0699007029890963
"Site_0025",185.359978566245,0.475512686904003,0.0802486387448887
"Site_0026",309.424501158548,0.540626054405745,0.122376638506739
"Site_0027",282.810763988401,0.480600232239533,0.179525678765871
"Site_0028",162.280445093448,0.482603461546052,0.154660583995045
"Site_0029",179.031404159001,0.210180363681274,0.105171987368208
"Site_0030",254.881699998112,0.510294883927312,0.135035582085485
"Site_0031",196.184966603278,0.514402852049911,0.102974598930481
"Site_0032",239.651812251195,0.379328576298712,0.192949564122405
"Site_0033",354.355175195303,0.397924344641296,0.237337668331868
"Site_0034",370.440413151111,0.468845175402856,0.202358822091389
"Site_0035",255.065769046092,0.455066004415573,0.17361491312729
"Site_0036",282.438258728752,0.159967812651296,0.177984069936182
"Site_0037",474.252117589795,0.318149972545618,0.217902485218402
"Site_0038",483.731074279253,0.431567243543282,0.279122274096448
"Site_0039",429.603091236327,0.338783582343727,0.302754769989136
"Site_0040",321.769181054184,0.337309022107885,0.249974057755394
"Site_0041",236.425441286466,0.435158379437745,0.109919114489714
"Site_0042",190.335957338912,0.478534907016799,0.0910698375885579
"Site_0043",292.216627958391,0.176988536348884,0.282369201249562
"Site_0044",412.135524021328,0.205599176717112,0.340107761440223
"Site_0045",479.773066897514,0.283405739066883,0.352312039002329
"Site_0046",465.418848249087,0.283167446365654,0.312937973903082
"Site_0047",439.053084157919,0.260962374155039,0.259158177264573
"Site_0048",223.955729678491,0.428934890750354,0.148978613527068
"Site_0049",146.925868532127,0.511062409579878,0.109849645958967
"Site_0050",120.87942377427,0.323397704831618,0.248499151375942
"Site_0051",140.064508162769,0.35000022281796,0.176567635755025
"Site_0052",278.10615244213,0.274415889375093,0.20558281191162
"Site_0053",282.15821042147,0.187173792708745,0.21742240177693
"Site_0054",292.079743365182,0.166058427269582,0.222243832006878
"Site_0055",187.391780216673,0.360392859643873,0.171103712144844
"Site_0056",85.6293081917162,0.432606141590875,0.0797105578029742
"Site_0057",138.106643885862,0.388999679458919,0.173842128902078
"Site_0058",98.2718289848415,0.432624614645155,0.0771610508708184
"Site_0059",252.324031563055,0.334488794414826,0.126808511451001
"Site_0060",269.21283573462,0.306027371533796,0.158308942778884
"Site_0061",158.841041411294,0.312544761567662,0.133990271341838
"Site_0062",100.041071345331,0.365988372833275,0.0891221947486765
"Site_0063",61.9559047199575,0.367443996832195,0.0411556756921933
"Site_0064",210.104182688831,0.384032806171624,0.188651083968571
"Site_0065",131.107160608096,0.304463152010986,0.112940381064366
"Site_0066",319.469730293889,0.320150380391344,0.150707928010687
"Site_0067",261.280663297689,0.400967023172906,0.124573784059078
"Site_0068",72.1241666283295,0.371080987825343,0.0576462754105541
"Site_0069",68.941312963326,0.305825465226799,0.0515742685382479
"Site_0070",153.505507582291,0.316315042108048,0.0936053764354727
"Site_0071",108.921847937417,0.240402936302655,0.206721143556323
"Site_0072",66.7425995314654,0.159280505832068,0.0842431681221901
"Site_0073",138.728436265002,0.189651725900702,0.132812325925021
"Site_0074",169.185435837345,0.32941749053109,0.108697264480454
"Site_0075",40.3469172482316,0.213327009571586,0.0354702555075615
"Site_0076",50.7712200980868,0.315535326456303,0.0276950784783018
"Site_0077",167.108830480646,0.359364217195446,0.102122947208662
"Site_0078",110.938455527393,0.367694486885663,0.137224980901451
"Site_0079",59.2435450110478,0.32648447683422,0.0825914861718331
"Site_0080",26.1417420698395,0.285195846282004,0.114690070668465
"Site_0081",42.8916934576709,0.289079910045693,0.0955495536502955
"Site_0082",80.9532114107071,0.31011865067681,0.053317842165156
"Site_0083",155.183059282534,0.401616451890964,0.073584180149301
"Site_0084",150.913098368083,0.421294563279857,0.085108543417367
"Site_0085",383.922746022339,0.0387785367307007,0.188292368655679
"Site_0086",307.014174247653,0.044413398663164,0.199337789028956
"Site_0087",105.515620804882,0.147610918514128,0.10408290395577
"Site_0088",170.047332004269,0.163317157949519,0.11041076137834
"Site_0089",122.030761021503,0.0922682312406774,0.115318577597485
"Site_0090",156.08872347212,0.199399542972752,0.127686562959657
"Site_0091",381.945714381464,0.247663219706844,0.242184498452863
"Site_0092",363.417136863932,0.119540053533521,0.450160635577669
"Site_0093",218.733386077703,0.154181285041925,0.435788647419113
"Site_0094",345.119955946395,0.123056311191382,0.303272113568404
"Site_0095",250.62933916669,0.0497556019297198,0.184229289825936
"Site_0096",91.7530162484546,0.0252587966675144,0.107661832867057
"Site_0097",36.8455271040962,0.0117714016151658,0.0775150345508988
"Site_0098",8.20178023937569,0.0418746574160785,0.0892745847134837
"Site_0099",15.3294819843771,0.145828107751601,0.095567030261052
"Site_0100",50.0220990015002,0.240636929739929,0.109221787443289
"Site_0101",432.33081663415,0.284086365962908,0.259959867685593
"Site_0102",602.539600937471,0.212032857163775,0.276670662509971
"Site_0103",391.705454259332,0.195417138557266,0.227640979902713
"Site_0104",395.085103963508,0.177734940127204,0.236839650914175
"Site_0105",338.598416392137,0.11354207052679,0.214712572551581
"Site_0106",144.751611906593,0.0534959159644553,0.151915108846606
"Site_0107",184.224007501487,0.0534777775938661,0.151399412529396
"Site_0108",178.91413441646,0.0820683844315712,0.114265415017939
"Site_0109",25.7406100163,0.405062638404662,0.0192271270431051
"Site_0110",25.2317066707623,0.671791195758115,0.0392838476430328
"Site_0111",35.7011601770394,0.616201353651367,0.0515394020264345
"Site_0112",64.2664591047639,0.342356368067242,0.0636251272843138
"Site_0113",128.831239689834,0.178592903241209,0.122081121730342
"Site_0114",60.69529150836,0.0184878491458736,0.0522823972643509
"Site_0115",74.0558233126544,0.0278838719493659,0.120446549386762
"Site_0116",76.3546404715847,0.14008698896213,0.137181733336559
"Site_0117",209.073161583332,0.172282737921874,0.187915810019643
"Site_0118",281.627594378352,0.0771070853223809,0.263856169142969
"Site_0119",319.505292343257,0.145837663679113,0.282666192172178
"Site_0120",296.24126216504,0.211592482186653,0.257051729927855
"Site_0121",226.888480354388,0.143772420971546,0.286990345652997
"Site_0122",421.158928734364,0.108072010234246,0.31618447744452
"Site_0123",631.425695929506,0.0861410500448819,0.340411194367166
"Site_0124",510.712300691248,0.0914006475050747,0.286067882035793
"Site_0125",255.428126787372,0.0733188479885509,0.213539362216169
"Site_0126",114.17375974324,0.0212153178095988,0.103143686747954
"Site_0127",23.3479703908834,0.00320635452165061,0.0523005347001217
"Site_0128",32.4118060001039,0.103146925489702,0.0459834874264946
"Site_0129",20.5081455721062,0.20901792629012,0.136117828345992
"Site_0130",418.585672538863,0.264880343237912,0.310826515440645
"Site_0131",783.792789721062,0.255351521828327,0.382790141148587
"Site_0132",524.448234255137,0.189943003093354,0.339611290391377
"Site_0133",310.133815450303,0.123318716800864,0.337494206862131
"Site_0134",208.978732448269,0.0893236499386618,0.260320384721406
"Site_0135",90.3691301844319,0.0817600934044562,0.105864962060806
"Site_0136",173.066826406017,0.0707324906758375,0.127301676327975
"Site_0137",221.364382195324,0.0849470795641588,0.17315746133423
"Site_0138",149.666790788079,0.244144921566761,0.117081833428879
"Site_0139",68.434643497776,0.464750490513763,0.0955031251551755
"Site_0140",73.3170953927994,0.481057693042254,0.0724056465639077
"Site_0141",91.0981421119377,0.365133296154542,0.0843602064696191
"Site_0142",117.258554732585,0.274602550615213,0.127301896011421
"Site_0143",5.9653548221244,0.0123874999442951,0.0262516576191273
"Site_0144",51.4779387858736,0.0237908647357511,0.105254546750938
"Site_0145",158.79273641058,0.196843483696988,0.173516406143566
"Site_0146",211.839342784238,0.229470698801087,0.181681598041759
"Site_0147",201.519534597323,0.0954217912144788,0.267088386791606
"Site_0148",216.291884946826,0.133515234428963,0.242971014446622
"Site_0149",114.109047031561,0.200351286863476,0.121951863895757
"Site_0150",78.5107770270529,0.155775776948331,0.104166812559007
"Site_0151",262.33455146316,0.0885679553628582,0.178972873367989
"Site_0152",439.639965271966,0.0792762407145156,0.218696414594233
"Site_0153",496.75116776447,0.0937382723311526,0.281943424531824
"Site_0154",238.947030016564,0.0775524547645695,0.211405529220477
"Site_0155",53.4861604913283,0.0156903625847893,0.0747279261270495
"Site_0156",14.904812177156,0.0143249119076646,0.0545268478700276
"Site_0157",17.4182481818842,0.196656793762404,0.0937501492076477
"Site_0158",8.82697890641684,0.281502947395695,0.169475809519202
"Site_0159",202.989590824672,0.170897827298618,0.281012728337046
"Site_0160",458.351452003874,0.256671945251263,0.298830700672423
"Site_0161",548.461006576665,0.247385385405778,0.333131311330761
"Site_0162",323.486428217789,0.19330913118973,0.362512036083582
"Site_0163",54.2597006861141,0.204316001737987,0.220574777220907
"Site_0164",42.1667777064734,0.259116232078365,0.102309528220387
"Site_0165",64.0988245744249,0.237378415491008,0.123983572921421
"Site_0166",91.938662668161,0.0809936322357521,0.168895198473392
"Site_0167",151.297680606139,0.104895456597124,0.151469044419248
"Site_0168",125.963903259204,0.22561493060485,0.135116664449095
"Site_0169",145.873574087443,0.300619111280876,0.19900623885918
"Site_0170",156.240850284238,0.259112953642317,0.214284759349778
"Site_0171",89.1525295349687,0.271027415639351,0.123880149006828
"Site_0172",4.78764286086764,0.00846194908124636,0.017018436188265
"Site_0173",98.1784614828114,0.0582002396879282,0.0837271631994678
"Site_0174",236.591101669652,0.167899793927055,0.196380449999141
"Site_0175",257.031557102943,0.162935736713038,0.230746606162003
"Site_0176",287.355746605303,0.213797109752992,0.262318882098294
"Site_0177",174.594670964334,0.222262223644023,0.161776572429895
"Site_0178",5.21707828919959,0.213512087145348,0.0171247026198736
"Site_0179",41.7834434551055,0.151828759392393,0.090325174319893
"Site_0180",293.625053149421,0.0711409985599529,0.20037057974945
"Site_0181",474.748188131128,0.0692561142180139,0.199196516647244
"Site_0182",414.929649355516,0.0591906548844736,0.258415439125
"Site_0183",69.763867161728,0.0277722516213743,0.179684717303943
"Site_0184",3.63037627711502,0.0213198182827516,0.0923104395744312
"Site_0185",4.44087050779295,0.0209005364792523,0.131556782957951
"Site_0186",57.8679284572653,0.142154266324588,0.224929175765061
"Site_0187",4.57511239945436,0.253051299778585,0.189297086973184
"Site_0188",14.1255809308827,0.117173578815688,0.164425112284622
"Site_0189",141.495392862175,0.258889737713267,0.191610962566845
"Site_0190",426.19147094343,0.319630820944338,0.253740094507037
"Site_0191",395.490704244425,0.268527330960446,0.261683052149827
"Site_0192",97.3431212373885,0.279721252447779,0.136674535208542
"Site_0193",28.2453315094863,0.359466534588416,0.0618722091997255
"Site_0194",37.3517172891907,0.277088038991497,0.06730979803973
"Site_0195",34.2915675560539,0.115022757606267,0.0806764224578215
"Site_0196",88.5978666419009,0.0379536225665439,0.0684151337022146
"Site_0197",172.046111323664,0.0501326400104915,0.126076765047973
"Site_0198",233.480468213776,0.0891186270627735,0.227548379128889
"Site_0199",173.058242413675,0.164496229640216,0.191888553958002
"Site_0200",113.021679249947,0.234826031861028,0.129090416576876
"Site_0201",1.78053337726944,0.0234653494656086,0.01341222703893
"Site_0202",115.51940124181,0.0298967579086752,0.0995042406128
"Site_0203",319.942658358193,0.0572861874302703,0.213854745758126
